"train/global_step","distilhubert-finetuned-gtzan - _step","distilhubert-finetuned-gtzan - _step__MIN","distilhubert-finetuned-gtzan - _step__MAX","distilhubert-finetuned-gtzan - train/loss","distilhubert-finetuned-gtzan - train/loss__MIN","distilhubert-finetuned-gtzan - train/loss__MAX"
"620","131","131","131","0.1637","0.1637","0.1637"
"625","132","132","132","0.0987","0.0987","0.0987"
"630","133","133","133","0.1841","0.1841","0.1841"
"635","134","134","134","0.1049","0.1049","0.1049"
"640","135","135","135","0.242","0.242","0.242"
"645","136","136","136","0.2209","0.2209","0.2209"
"650","137","137","137","0.2319","0.2319","0.2319"
"655","138","138","138","0.1225","0.1225","0.1225"
"660","139","139","139","0.1547","0.1547","0.1547"
"665","140","140","140","0.1523","0.1523","0.1523"
"670","141","141","141","0.1255","0.1255","0.1255"
"675","142","142","142","0.1257","0.1257","0.1257"
"680","143","143","143","0.1302","0.1302","0.1302"
"685","145","145","145","0.064","0.064","0.064"
"690","146","146","146","0.124","0.124","0.124"
"695","147","147","147","0.1026","0.1026","0.1026"
"700","148","148","148","0.2514","0.2514","0.2514"
"705","149","149","149","0.1958","0.1958","0.1958"
"710","150","150","150","0.1071","0.1071","0.1071"
"715","151","151","151","0.1926","0.1926","0.1926"
"720","152","152","152","0.1551","0.1551","0.1551"
"725","153","153","153","0.1141","0.1141","0.1141"
"730","154","154","154","0.1072","0.1072","0.1072"
"735","155","155","155","0.1459","0.1459","0.1459"
"740","156","156","156","0.1057","0.1057","0.1057"
"745","157","157","157","0.1642","0.1642","0.1642"
"750","158","158","158","0.0972","0.0972","0.0972"
"755","159","159","159","0.0559","0.0559","0.0559"
"760","160","160","160","0.0614","0.0614","0.0614"
