"Step","distilhubert-finetuned-gtzan - eval/loss","distilhubert-finetuned-gtzan - eval/loss__MIN","distilhubert-finetuned-gtzan - eval/loss__MAX"
"15","1.3009392023086548","1.3009392023086548","1.3009392023086548"
"31","1.1284970045089722","1.1284970045089722","1.1284970045089722"
"47","1.0528780221939087","1.0528780221939087","1.0528780221939087"
"63","0.9046612977981567","0.9046612977981567","0.9046612977981567"
"80","0.9045966863632202","0.9045966863632202","0.9045966863632202"
"96","0.6553946137428284","0.6553946137428284","0.6553946137428284"
"112","0.7995558381080627","0.7995558381080627","0.7995558381080627"
"128","0.6262030005455017","0.6262030005455017","0.6262030005455017"
"144","0.5388314723968506","0.5388314723968506","0.5388314723968506"
"161","0.533762514591217","0.533762514591217","0.533762514591217"
